,Parking,Positions,,,,,,,20F,or,40F,Front,Pose,,,,,,,20F,Rear,Pose,,,,,
SlotLabel,UnityX,UnityZ,Latitude,Longitude,WGS84_Easting,WGS84_Northing,,UnityX_20F,UnityZ_20F,Latitude_20F,Longitude_20F,WGS84_Easting_20F,WGS84_Northing_20F,,UnityX_20R,UnityZ_20R,Latitude_20R,Longitude_20R,WGS84_Easting_20R,WGS84_Northing_20R,,UnityX_45F,UnityZ_45F,Latitude_45F,Longitude_45F,WGS84_Easting_45F,WGS84_Northing_45F
TB1_11_16,328.26,-127.152,1.268681756,103.7923463,365641.0917,140259.0376,,328.26,-129.992,1.268659701,103.7923332,365639.6355,140256.6,,328.26,-136.588,1.268608477,103.7923028,365636.2533,140250.9384,,328.26,-131.516,1.268647866,103.7923262,365638.8541,140255.2919
TB1_11_17,328.26,-133.682,1.268631045,103.7923162,365637.7434,140253.4327,,328.26,-136.522,1.268608989,103.7923031,365636.2872,140250.9951,,328.26,-143.118,1.268557765,103.7922728,365632.905,140245.3336,,328.26,-138.046,1.268597154,103.7922961,365635.5057,140249.687
TB1_11_18,328.26,-140.241,1.268580108,103.792286,365634.3802,140247.803,,328.26,-143.081,1.268558053,103.7922729,365632.924,140245.3653,,328.26,-149.677,1.268506828,103.7922426,365629.5419,140239.7038,,328.26,-144.605,1.268546217,103.7922659,365632.1426,140244.0572
TB1_11_19,328.26,-146.798,1.268529186,103.7922558,365631.0181,140242.1749,,328.26,-149.638,1.268507131,103.7922427,365629.5619,140239.7373,,328.26,-156.234,1.268455907,103.7922124,365626.1797,140234.0757,,328.26,-151.162,1.268495296,103.7922357,365628.7804,140238.4292
TB1_11_20,328.26,-153.357,1.26847825,103.7922256,365627.6549,140236.5452,,328.26,-156.197,1.268456194,103.7922125,365626.1987,140234.1075,,328.26,-162.793,1.26840497,103.7921822,365622.8165,140228.446,,328.26,-157.721,1.268444359,103.7922055,365625.4172,140232.7994
TB1_11_21,328.26,-159.887,1.268427538,103.7921955,365624.3066,140230.9403,,328.26,-162.727,1.268405483,103.7921825,365622.8504,140228.5026,,328.26,-169.323,1.268354258,103.7921521,365619.4682,140222.8411,,328.26,-164.251,1.268393647,103.7921754,365622.0689,140227.1945
TB1_11_22,328.26,-166.446,1.268376601,103.7921653,365620.9434,140225.3105,,328.26,-169.286,1.268354546,103.7921523,365619.4872,140222.8729,,328.26,-175.882,1.268303322,103.7921219,365616.1051,140217.2113,,328.26,-170.81,1.268342711,103.7921452,365618.7058,140221.5648
TB1_11_23,328.26,-172.968,1.268325952,103.7921353,365617.5992,140219.7125,,328.26,-175.808,1.268303896,103.7921222,365616.143,140217.2748,,328.26,-182.404,1.268252672,103.7920919,365612.7608,140211.6133,,328.26,-177.332,1.268292061,103.7921152,365615.3616,140215.9667
TB1_11_24,328.26,-179.527,1.268275015,103.7921051,365614.2361,140214.0827,,328.26,-182.367,1.268252959,103.792092,365612.7798,140211.6451,,328.26,-188.963,1.268201735,103.7920617,365609.3977,140205.9835,,328.26,-183.891,1.268241124,103.792085,365611.9984,140210.337
TB1_11_25,328.26,-186.057,1.268224303,103.792075,365610.8877,140208.4778,,328.26,-188.897,1.268202248,103.792062,365609.4315,140206.0402,,328.26,-195.493,1.268151024,103.7920316,365606.0494,140200.3787,,328.26,-190.421,1.268190412,103.7920549,365608.6501,140204.7321
TB1_11_26,328.26,-192.616,1.268173366,103.7920448,365607.5246,140202.8481,,328.26,-195.456,1.268151311,103.7920318,365606.0683,140200.4104,,328.26,-202.052,1.268100087,103.7920014,365602.6862,140194.7489,,328.26,-196.98,1.268139476,103.7920247,365605.2869,140199.1023
TB1_11_27,328.26,-199.171,1.26812246,103.7920147,365604.1634,140197.2217,,328.26,-202.011,1.268100405,103.7920016,365602.7072,140194.7841,,328.26,-208.607,1.268049181,103.7919712,365599.3251,140189.1225,,328.26,-203.535,1.26808857,103.7919946,365601.9258,140193.476
TB1_11_28,328.26,-205.73,1.268071524,103.7919845,365600.8003,140191.592,,328.26,-208.57,1.268049468,103.7919714,365599.344,140189.1543,,328.26,-215.166,1.267998244,103.791941,365595.9619,140183.4928,,328.26,-210.094,1.268037633,103.7919644,365598.5626,140187.8462
TB1_11_29,328.26,-212.26,1.268020812,103.7919544,365597.452,140185.9871,,328.26,-215.1,1.267998757,103.7919413,365595.9957,140183.5494,,328.26,-221.696,1.267947532,103.7919109,365592.6136,140177.8879,,328.26,-216.624,1.267986921,103.7919343,365595.2143,140182.2413
TB1_11_30,328.26,-218.819,1.267969875,103.7919242,365594.0888,140180.3573,,328.26,-221.659,1.26794782,103.7919111,365592.6326,140177.9197,,328.26,-228.255,1.267896596,103.7918807,365589.2504,140172.2581,,328.26,-223.183,1.267935984,103.7919041,365591.8511,140176.6116
TB1_11_31,328.26,-225.341,1.267919226,103.7918942,365590.7446,140174.7593,,328.26,-228.181,1.26789717,103.7918811,365589.2884,140172.3216,,328.26,-234.777,1.267845946,103.7918507,365585.9062,140166.6601,,328.26,-229.705,1.267885335,103.7918741,365588.5069,140171.0135
TB1_11_32,328.26,-231.9,1.267868289,103.791864,365587.3814,140169.1295,,328.26,-234.74,1.267846233,103.7918509,365585.9252,140166.6919,,328.26,-241.336,1.267795009,103.7918205,365582.543,140161.0303,,328.26,-236.264,1.267834398,103.7918439,365585.1437,140165.3838
TB1_11_33,328.26,-238.43,1.267817577,103.7918339,365584.0331,140163.5246,,328.26,-241.27,1.267795522,103.7918208,365582.5769,140161.087,,328.26,-247.866,1.267744298,103.7917904,365579.1947,140155.4255,,328.26,-242.794,1.267783686,103.7918138,365581.7954,140159.7789
TB1_11_34,328.26,-244.989,1.26776664,103.7918037,365580.6699,140157.8949,,328.26,-247.829,1.267744585,103.7917906,365579.2137,140155.4572,,328.26,-254.425,1.267693361,103.7917602,365575.8315,140149.7957,,328.26,-249.353,1.26773275,103.7917836,365578.4323,140154.1491
TB1_11_35,328.26,-251.547,1.267715711,103.7917735,365577.3073,140152.266,,328.26,-254.387,1.267693656,103.7917604,365575.851,140149.8283,,328.26,-260.983,1.267642432,103.79173,365572.4689,140144.1668,,328.26,-255.911,1.26768182,103.7917534,365575.0696,140148.5202
TB1_11_36,328.26,-258.077,1.267664999,103.7917434,365573.959,140146.6611,,328.26,-260.917,1.267642944,103.7917303,365572.5027,140144.2234,,328.26,-267.513,1.26759172,103.7917,365569.1206,140138.5619,,328.26,-262.441,1.267631109,103.7917233,365571.7213,140142.9153
TB1_11_37,328.26,-264.636,1.267614063,103.7917132,365570.5958,140141.0313,,328.26,-267.476,1.267592007,103.7917001,365569.1395,140138.5936,,328.26,-274.072,1.267540783,103.7916698,365565.7574,140132.9321,,328.26,-269,1.267580172,103.7916931,365568.3581,140137.2856
TB1_11_38,328.26,-271.45,1.267561145,103.7916818,365567.1019,140135.1827,,328.26,-274.29,1.26753909,103.7916688,365565.6456,140132.745,,328.26,-280.886,1.267487866,103.7916384,365562.2635,140127.0835,,328.26,-275.814,1.267527255,103.7916618,365564.8642,140131.4369
TB1_11_39,328.26,-277.3,1.267515715,103.7916549,365564.1022,140130.1614,,328.26,-280.14,1.267493659,103.7916418,365562.646,140127.7238,,328.26,-286.736,1.267442435,103.7916115,365559.2638,140122.0623,,328.26,-281.664,1.267481824,103.7916348,365561.8645,140126.4157
TB2_00_1,316.5601,-29.04,1.269497911,103.7927078,365681.3571,140349.2491,,316.5601,-31.88,1.269475856,103.7926947,365679.9008,140346.8114,,316.5601,-38.476,1.269424631,103.7926643,365676.5187,140341.1499,,316.5601,-33.404,1.26946402,103.7926877,365679.1194,140345.5033
TB2_00_2,316.5601,-35.542,1.269447417,103.7926778,365678.0231,140343.6682,,316.5601,-38.382,1.269425361,103.7926647,365676.5669,140341.2306,,316.5601,-44.978,1.269374137,103.7926344,365673.1847,140335.569,,316.5601,-39.906,1.269413526,103.7926577,365675.7854,140339.9225
TB2_00_3,316.5601,-42.05,1.269396876,103.7926478,365674.6861,140338.0822,,316.5601,-44.89,1.269374821,103.7926348,365673.2298,140335.6446,,316.5601,-51.486,1.269323596,103.7926044,365669.8477,140329.983,,316.5601,-46.414,1.269362985,103.7926278,365672.4484,140334.3365
TB2_00_4,316.5601,-48.609,1.269345939,103.7926176,365671.3229,140332.4525,,316.5601,-51.449,1.269323884,103.7926046,365669.8667,140330.0148,,316.5601,-58.045,1.26927266,103.7925742,365666.4845,140324.3533,,316.5601,-52.973,1.269312049,103.7925976,365669.0852,140328.7067
TB2_00_5,316.5601,-55.139,1.269295227,103.7925876,365667.9746,140326.8476,,316.5601,-57.979,1.269273172,103.7925745,365666.5184,140324.4099,,316.5601,-64.575,1.269221948,103.7925441,365663.1362,140318.7484,,316.5601,-59.503,1.269261337,103.7925675,365665.7369,140323.1018
TB2_00_6,316.5601,-61.698,1.269244291,103.7925574,365664.6114,140321.2178,,316.5601,-64.538,1.269222235,103.7925443,365663.1552,140318.7802,,316.5601,-71.134,1.269171011,103.7925139,365659.773,140313.1186,,316.5601,-66.062,1.2692104,103.7925373,365662.3737,140317.4721
TB2_00_7,316.5601,-68.22,1.269193641,103.7925273,365661.2672,140315.6198,,316.5601,-71.06,1.269171586,103.7925143,365659.811,140313.1821,,316.5601,-77.656,1.269120362,103.7924839,365656.4288,140307.5206,,316.5601,-72.584,1.269159751,103.7925073,365659.0295,140311.8741
TB2_00_8,316.5601,-74.779,1.269142704,103.7924971,365657.904,140309.99,,316.5601,-77.619,1.269120649,103.7924841,365656.4478,140307.5524,,316.5601,-84.215,1.269069425,103.7924537,365653.0657,140301.8908,,316.5601,-79.143,1.269108814,103.7924771,365655.6664,140306.2443
TB2_00_9,316.5601,-81.309,1.269091993,103.7924671,365654.5557,140304.3851,,316.5601,-84.149,1.269069937,103.792454,365653.0995,140301.9475,,316.5601,-90.745,1.269018713,103.7924236,365649.7173,140296.286,,316.5601,-85.673,1.269058102,103.792447,365652.3181,140300.6394
TB2_00_10,316.5601,-87.868,1.269041056,103.7924369,365651.1925,140298.7554,,316.5601,-90.708,1.269019,103.7924238,365649.7363,140296.3177,,316.5601,-97.304,1.268967776,103.7923934,365646.3542,140290.6562,,316.5601,-92.232,1.269007165,103.7924168,365648.9549,140295.0096
TB2_00_11,316.5601,-94.423,1.26899015,103.7924067,365647.8314,140293.129,,316.5601,-97.263,1.268968095,103.7923936,365646.3752,140290.6914,,316.5601,-103.859,1.26891687,103.7923632,365642.993,140285.0299,,316.5601,-98.787,1.268956259,103.7923866,365645.5937,140289.3833
TB2_00_12,316.5601,-100.982,1.268939213,103.7923765,365644.4682,140287.4993,,316.5601,-103.822,1.268917158,103.7923634,365643.012,140285.0616,,316.5601,-110.418,1.268865934,103.792333,365639.6299,140279.4001,,316.5601,-105.346,1.268905323,103.7923564,365642.2306,140283.7535
