Parking,,,,,,,,20F Front,,,,,,,20F Rear,,,,,,,45F Front,,,,,
SlotLabel,UnityX,UnityZ,Latitude,Longitude,WGS84_Easting,WGS84_Northing,,UnityX_20F,UnityZ_20F,Latitude_20F,Longitude_20F,WGS84_Easting_20F,WGS84_Northing_20F,,UnityX_20R,UnityZ_20R,Latitude_20R,Longitude_20R,WGS84_Easting_20R,WGS84_Northing_20R,,UnityX_45F,UnityZ_45F,Latitude_45F,Longitude_45F,WGS84_Easting_45F,WGS84_Northing_45F
TD1_11_5,328.26,-663.123,1.264519432,103.7898784,365366.2688,139798.9986,,328.26,-665.963,1.264497377,103.7898653,365364.8125,139796.5609,,328.26,-672.559,1.264446152,103.7898349,365361.4304,139790.8994,,328.26,-667.487,1.264485541,103.7898583,365364.0311,139795.2528
TD1_11_6,328.26,-669.682,1.264468495,103.7898482,365362.9056,139793.3688,,328.26,-672.522,1.26444644,103.7898351,365361.4494,139790.9311,,328.26,-679.118,1.264395216,103.7898047,365358.0672,139785.2696,,328.26,-674.046,1.264434605,103.7898281,365360.6679,139789.623
TD1_11_7,328.26,-676.204,1.264417846,103.7898182,365359.5614,139787.7708,,328.26,-679.044,1.26439579,103.7898051,365358.1052,139785.3331,,328.26,-685.64,1.264344566,103.7897747,365354.723,139779.6716,,328.26,-680.568,1.264383955,103.7897981,365357.3237,139784.025
TD1_11_8,328.26,-682.763,1.264366909,103.789788,365356.1982,139782.141,,328.26,-685.603,1.264344853,103.7897749,365354.742,139779.7033,,328.26,-692.199,1.264293629,103.7897445,365351.3599,139774.0418,,328.26,-687.127,1.264333018,103.7897679,365353.9606,139778.3952
TD1_11_9,328.26,-689.293,1.264316197,103.7897579,365352.8499,139776.5361,,328.26,-692.133,1.264294142,103.7897448,365351.3937,139774.0984,,328.26,-698.729,1.264242918,103.7897144,365348.0116,139768.4369,,328.26,-693.657,1.264282306,103.7897378,365350.6123,139772.7903
TD1_11_10,328.26,-695.852,1.26426526,103.7897277,365349.4868,139770.9063,,328.26,-698.692,1.264243205,103.7897146,365348.0305,139768.4686,,328.26,-705.288,1.264191981,103.7896842,365344.6484,139762.8071,,328.26,-700.216,1.26423137,103.7897076,365347.2491,139767.1606
TD1_11_11,328.26,-702.407,1.264214354,103.7896975,365346.1256,139765.28,,328.26,-705.247,1.264192299,103.7896844,365344.6694,139762.8423,,328.26,-711.843,1.264141075,103.7896541,365341.2873,139757.1808,,328.26,-706.771,1.264180464,103.7896774,365343.888,139761.5342
TD1_11_12,328.26,-708.966,1.264163417,103.7896673,365342.7625,139759.6502,,328.26,-711.806,1.264141362,103.7896542,365341.3062,139757.2125,,328.26,-718.402,1.264090138,103.7896239,365337.9241,139751.551,,328.26,-713.33,1.264129527,103.7896472,365340.5248,139755.9044
TD1_11_13,328.26,-715.496,1.264112706,103.7896372,365339.4142,139754.0453,,328.26,-718.336,1.26409065,103.7896242,365337.9579,139751.6076,,328.26,-724.932,1.264039426,103.7895938,365334.5758,139745.9461,,328.26,-719.86,1.264078815,103.7896171,365337.1765,139750.2995
TD1_11_14,328.26,-722.055,1.264061769,103.789607,365336.051,139748.4155,,328.26,-724.895,1.264039714,103.789594,365334.5948,139745.9778,,328.26,-731.491,1.263988489,103.7895636,365331.2126,139740.3163,,328.26,-726.419,1.264027878,103.7895869,365333.8133,139744.6698
TD1_11_15,328.26,-728.577,1.264011119,103.789577,365332.7068,139742.8175,,328.26,-731.417,1.263989064,103.7895639,365331.2506,139740.3798,,328.26,-738.013,1.26393784,103.7895336,365327.8684,139734.7183,,328.26,-732.941,1.263977229,103.7895569,365330.4691,139739.0717
TD1_11_16,328.26,-735.136,1.263960182,103.7895468,365329.3436,139737.1877,,328.26,-737.976,1.263938127,103.7895337,365327.8874,139734.75,,328.26,-744.572,1.263886903,103.7895034,365324.5052,139729.0885,,328.26,-739.5,1.263926292,103.7895267,365327.1059,139733.442
TD1_11_17,328.26,-741.666,1.263909471,103.7895167,365325.9953,139731.5828,,328.26,-744.506,1.263887415,103.7895037,365324.5391,139729.1452,,328.26,-751.102,1.263836191,103.7894733,365321.1569,139723.4836,,328.26,-746.03,1.26387558,103.7894966,365323.7576,139727.8371
TD1_11_18,328.26,-748.225,1.263858534,103.7894865,365322.6321,139725.953,,328.26,-751.065,1.263836479,103.7894735,365321.1759,139723.5154,,328.26,-757.661,1.263785254,103.7894431,365317.7938,139717.8538,,328.26,-752.589,1.263824643,103.7894664,365320.3945,139722.2073
TD1_11_19,328.26,-754.782,1.263807613,103.7894563,365319.27,139720.325,,328.26,-757.622,1.263785557,103.7894433,365317.8138,139717.8873,,328.26,-764.218,1.263734333,103.7894129,365314.4316,139712.2258,,328.26,-759.146,1.263773722,103.7894363,365317.0323,139716.5792
