Filename,PSA_AIFO_Coordinates,,,,,,,,,,,
Format,2.1,,,,,,,,,,,
Modified on,25/09/24,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Slot Label, Raw x, Raw y, Slot Type, , 20F Front x, 20F Front y, , 20F Rear x, 20F Rear y, , 45F Front x, 45F Front y
TB2_11_32,365542.714,140195.8134,9, ,365541.2578,140193.3758, ,365537.8756,140187.7142, ,365540.4763,140192.0677
TB2_11_33,365539.3657,140190.2085,9, ,365537.9095,140187.7709, ,365534.5273,140182.1094, ,365537.128,140186.4628
TB2_11_34,365536.0025,140184.5788,9, ,365534.5463,140182.1411, ,365531.1642,140176.4796, ,365533.7649,140180.833
TB2_11_35,365532.6399,140178.9498,9, ,365531.1836,140176.5122, ,365527.8015,140170.8507, ,365530.4022,140175.2041
TB2_11_36,365529.2916,140173.345,9, ,365527.8353,140170.9073, ,365524.4532,140165.2458, ,365527.0539,140169.5992
TB2_11_37,365525.9284,140167.7152,9, ,365524.4722,140165.2775, ,365521.09,140159.616, ,365523.6907,140163.9695
TB2_11_38,365522.4345,140161.8665,9, ,365520.9782,140159.4289, ,365517.5961,140153.7674, ,365520.1968,140158.1208
TB2_11_39,365519.4348,140156.8453,9, ,365517.9786,140154.4077, ,365514.5965,140148.7461, ,365517.1972,140153.0996
TB3_00_1,365636.6896,140375.933,1, ,365635.2334,140373.4954, ,365631.8512,140367.8338, ,365634.4519,140372.1873
TB3_00_2,365633.3557,140370.3522,1, ,365631.8994,140367.9145, ,365628.5173,140362.253, ,365631.118,140366.6064
TB3_00_3,365630.0186,140364.7662,1, ,365628.5624,140362.3285, ,365625.1803,140356.667, ,365627.781,140361.0204
TB3_00_4,365626.6555,140359.1364,1, ,365625.1992,140356.6988, ,365621.8171,140351.0372, ,365624.4178,140355.3907
TB3_00_5,365623.3072,140353.5315,1, ,365621.8509,140351.0939, ,365618.4688,140345.4324, ,365621.0695,140349.7858
TB3_00_6,365619.944,140347.9018,9, ,365618.4877,140345.4641, ,365615.1056,140339.8026, ,365617.7063,140344.156
TB3_00_7,365616.5998,140342.3038,9, ,365615.1435,140339.8661, ,365611.7614,140334.2046, ,365614.3621,140338.558
TB3_00_8,365613.2366,140336.674,9, ,365611.7804,140334.2363, ,365608.3982,140328.5748, ,365610.9989,140332.9282
TB3_00_9,365609.8883,140331.0691,9, ,365608.432,140328.6315, ,365605.0499,140322.9699, ,365607.6506,140327.3234
TB3_00_10,365606.5251,140325.4393,9, ,365605.0689,140323.0017, ,365601.6867,140317.3402, ,365604.2874,140321.6936
TB3_00_11,365603.164,140319.813,9, ,365601.7077,140317.3754, ,365598.3256,140311.7138, ,365600.9263,140316.0673
TB3_00_12,365599.8008,140314.1832,9, ,365598.3446,140311.7456, ,365594.9624,140306.0841, ,365597.5631,140310.4375
TB3_00_13,365596.4525,140308.5784,9, ,365594.9963,140306.1407, ,365591.6141,140300.4792, ,365594.2148,140304.8326
TB3_00_14,365593.0893,140302.9486,9, ,365591.6331,140300.5109, ,365588.2509,140294.8494, ,365590.8516,140299.2028
TB3_00_15,365589.7451,140297.3506,9, ,365588.2889,140294.9129, ,365584.9067,140289.2514, ,365587.5074,140293.6048
